49,29,48,56,24,35, negative
7,4,48,54,35,44, negative
59,49,48,52,45,36, negative
23,32,48,55,25,35, negative
67,39,48,36,38,46, negative
29,28,48,44,23,34, negative
21,34,48,51,28,39, negative
42,24,48,57,27,37, negative
25,48,48,44,17,29, negative
39,32,48,46,24,35, negative
51,5,48,46,32,35, negative
22,43,48,48,16,28, negative
25,4,48,46,44,52, negative
44,27,48,55,52,58, negative
23,4,48,39,28,38, negative
41,57,48,39,21,32, negative
4,45,48,38,22,0, negative
31,23,48,73,5,14, negative
51,54,48,41,34,43, negative
29,37,48,48,44,52, negative
21,51,48,5,32,41, negative
43,37,48,53,35,44, negative
53,38,48,44,26,36, negative
34,33,48,38,35,44, negative
56,51,48,34,37,46, negative
24,35,48,31,19,31, negative
65,47,48,59,3,4, negative
38,46,48,48,22,29, negative
33,45,48,52,32,41, negative
3,37,48,59,41,49, negative
4,5,48,45,39,47, negative
28,38,48,5,33,42, negative
61,45,48,48,35,41, negative
17,38,48,45,42,5, negative
43,4,48,39,28,39, negative
23,33,48,43,33,43, negative
29,3,48,45,3,17, negative
22,36,48,35,39,47, negative
23,58,48,37,53,59, negative
47,47,48,22,16,26, negative
54,47,48,28,33,42, negative
51,37,48,35,36,45, negative
44,34,48,3,33,43, negative
42,38,48,54,34,43, negative
44,56,48,5,46,54, negative
52,36,48,41,28,38, negative
36,41,48,48,47,54, negative
18,3,48,46,24,35, negative
24,43,48,54,52,59, negative
25,37,48,41,33,42, negative
52,57,48,42,47,54, negative
26,26,48,34,25,35, negative
37,5,48,42,36,45, negative
44,42,48,42,25,2, negative
24,43,48,37,28,38, negative
42,3,48,48,26,36, negative
48,42,48,45,25,35, negative
41,48,48,51,44,51, negative
44,28,48,43,27,37, negative
29,41,48,48,38,46, negative
41,43,48,45,31,41, negative
29,47,48,41,23,34, negative
34,55,48,58,31,41, negative
36,56,48,43,45,53, negative
5,49,48,49,46,53, negative
5,51,48,27,23,34, negative
53,42,48,16,29,39, negative
34,46,48,52,35,44, negative
4,42,48,37,27,27, negative
41,43,48,5,24,25, negative
3,45,48,36,21,32, negative
31,47,48,29,28,39, negative
64,76,48,45,35,38, negative
35,37,48,3,34,43, negative
57,54,48,37,28,33, negative
65,55,48,34,37,28, negative
38,4,48,63,25,35, negative
24,57,48,63,34,43, negative
38,26,48,54,16,28, negative
33,47,48,53,18,29, negative
24,34,48,38,3,4, negative
26,5,48,44,32,41, negative
44,49,48,39,38,4, negative
43,32,48,33,45,52, negative
49,43,48,49,3,4, negative
47,28,48,56,2,25, negative
32,33,48,6,6,2, negative
34,35,48,51,49,56, negative
35,34,48,46,3,27, negative
38,3,48,43,29,39, negative
41,51,48,58,2,31, negative
51,49,48,53,14,26, negative
25,51,48,37,42,5, negative
24,41,48,49,23,34, negative
17,39,48,53,3,39, negative
4,31,48,41,29,39, negative
61,36,48,49,35,44, negative
34,51,48,44,37,46, negative
28,33,48,45,22,33, negative
4,46,48,42,35,44, negative
23,34,48,43,26,37, negative
37,44,48,42,39,47, negative
3,44,48,49,22,33, negative
27,3,48,71,28,39, negative
36,42,48,53,32,41, negative
3,37,48,43,18,3, negative
26,4,48,36,26,37, negative
4,41,48,55,22,33, negative
22,34,48,42,29,39, negative
44,35,48,44,52,59, negative
27,42,48,37,38,43, negative
16,43,48,54,27,37, negative
66,49,1,54,56,36, negative
71,46,1,52,59,3, negative
67,55,1,66,58,16, negative
68,49,1,62,55,28, negative
74,49,48,42,54,36, negative
66,86,48,34,41,36, negative
73,78,48,58,51,31, negative
65,57,48,47,47,51, negative
72,86,48,17,55,21, negative
67,7,48,46,45,33, negative
67,81,48,54,49,23, negative
67,61,48,51,37,38, negative
63,1,48,35,51,49, negative
57,59,48,39,47,33, negative
71,71,48,4,54,39, negative
66,74,48,31,38,43, negative
67,81,48,25,42,25, negative
68,82,48,38,65,56, negative
7,64,48,47,51,47, negative
63,57,48,49,7,2, negative
63,86,48,39,47,34, negative
63,83,48,4,39,19, negative
63,71,48,6,4,39, negative
71,86,48,4,54,32, negative
68,78,48,43,44,42, negative
64,84,48,37,45,4, negative
75,84,48,35,52,33, negative
63,65,48,39,44,35, negative
69,67,48,3,39,24, negative
7,71,48,42,84,85, negative
69,8,48,46,57,26, negative
64,66,48,41,39,2, negative
66,71,48,41,5,35, negative
69,59,48,46,44,52, negative
68,67,48,49,4,34, negative
64,78,48,5,36,38, negative
76,73,48,44,39,39, negative
64,81,48,37,39,44, negative
29,39,48,52,4,48, negative
62,83,48,46,36,4, negative
56,54,48,43,37,3, negative
69,66,48,41,5,25, negative
69,65,48,63,48,41, negative
74,56,48,47,68,3, negative
71,57,48,48,35,32, negative
61,6,48,44,39,38, negative
59,61,48,42,42,37, negative
74,74,48,31,53,52, negative
78,68,48,83,4,29, positive
67,88,48,73,5,25, positive
61,75,48,51,33,33, positive
67,84,48,74,54,37, positive
74,9,48,57,53,29, positive
73,84,48,86,58,29, positive
75,76,48,83,57,3, positive
77,57,48,88,53,2, positive
74,78,48,75,54,15, positive
68,76,48,84,45,27, positive
52,81,48,72,38,38, positive
6,76,1,77,59,52, positive
69,59,48,77,39,21, positive
63,49,48,79,45,28, positive
71,71,48,68,43,36, positive
68,63,48,73,4,3, positive
