56,4,48,49,37,46, negative
2,44,48,46,51,57, negative
42,4,48,56,18,3, negative
34,45,48,38,24,35, negative
3,16,48,56,11,23, negative
36,39,48,48,22,23, negative
25,4,48,47,33,42, negative
43,39,48,47,31,41, negative
4,29,48,42,35,44, negative
36,54,48,41,38,46, negative
29,52,48,42,29,39, negative
32,42,48,35,28,38, negative
44,35,48,55,55,61, negative
42,35,48,58,15,27, negative
37,52,48,42,42,36, negative
4,35,48,45,33,42, negative
47,29,48,51,33,43, negative
25,37,48,43,26,36, negative
35,48,48,56,4,48, negative
44,51,48,47,26,36, negative
34,28,48,41,35,44, negative
4,46,48,52,49,56, negative
52,44,48,37,36,42, negative
51,46,48,58,31,41, negative
38,44,48,43,2,31, negative
34,42,48,41,34,43, negative
29,28,48,5,42,5, negative
25,26,48,39,32,42, negative
0,38,48,42,48,55, negative
39,31,48,38,34,43, negative
17,52,48,49,37,46, negative
77,57,1,37,54,1, negative
7,61,48,56,52,43, negative
64,72,48,49,42,19, negative
32,39,48,53,28,38, negative
74,82,48,49,49,41, negative
74,47,48,5,57,42, negative
63,8,48,46,31,29, negative
62,78,48,47,49,54, negative
43,59,48,52,49,56, negative
63,69,48,65,41,28, positive
56,68,48,77,36,45, positive
65,51,48,66,54,33, positive
64,57,48,7,33,26, positive
