8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4, negative
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6, negative
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4, negative
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9, negative
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9, negative
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7, negative
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14, negative
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3, negative
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10, negative
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5, negative
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3, negative
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10, negative
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10, negative
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9, negative
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9, negative
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1, negative
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9, negative
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6, negative
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1, negative
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5, negative
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5, negative
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4, negative
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5, negative
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5, negative
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7, negative
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5, negative
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2, negative
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5, negative
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5, negative
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3, negative
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7, negative
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10, negative
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8, negative
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11, negative
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8, negative
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2, negative
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6, negative
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9, positive
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5, negative
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1, negative
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7, negative
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4, negative
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3, negative
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2, negative
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8, negative
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8, negative
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4, positive
